OBJECTID,ZONE_CODE,PDR,PDR_DENSIT,CASE_NO,LABEL,EDITOR,ACTION_,COMMENT_,ACRES,BOC_DATE,CITY_COUNC,MAP_EDIT_D,ERROR_FIX_,UDO,ZONE_GEN,UDO_LABEL,DEVELOP_PL,UDO_LEGEND,IN_DATE,PDR_RNG,GlobalID,ShapeSTArea,ShapeSTLength
1993,R-20, ,0, ,R-20, , , ,0.36359786,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{AEA38BD5-06F0-4941-951D-5D2C085056D9},15838.2731933594,516.696981802963
1994,I-2, ,0, ,I-2, , ,"P75-10;P79-02",24.59152278,,,,,IL,INDUSTRIAL,IL, ,21 - IL,,,{842038E9-09C4-4C91-8643-7FA94F652741},1071203.39685059,4788.96892263459
1995,RM-12, ,0,,RM-12, , ,"P85-76;P89-33",44.65262487,,1985/12/16 05:00:00+00,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{A1CF852E-782B-4AFA-9C32-95B784E169A7},1945062.27893066,6253.54044623817
1996,I-3, ,0, ,I-3, , , ,119.40597657,,,,,I,INDUSTRIAL,I, ,20 - I,,,{36A50728-F59F-46A9-97D6-1A0D8254F3A3},5201308.13171387,11571.744868805
1997,CT, ,0, ,CT, , , ,3.36673029,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{43EC40A9-9C76-4FD5-95C8-A5A13B1AFF03},146654.314697266,1575.37593901691
1998,RM-12, ,0, ,RM-12, , , ,0.22989913,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{9520FC3F-E4BA-4842-9629-434FEB3D75B7},10014.3746337891,431.513984192956
1999,PDR,Y,0,P88-45,PDR   0.000, , , ,4.92335121,,1988/09/19 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 0.000,(D), 1 - PDR-VLR (< 2 du/ac),,PDR-VLR,{628F1D08-CD17-4236-B358-D169FDBBB416},214460.510253906,2860.85507587137
2000,R-20, ,0, ,R-20, , ,P01-14,0.68646326,,2002/01/22 05:00:00+00,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{495BC4E3-DDE4-404D-90AF-7C184AC9E457},29902.2463378906,720.045971951333
2001,OI-2, ,0,P00-11,OI-2(D),Kathleen,Adjusted OI(D) boundary per case P00-11, ,4.33562334,,2011/03/21 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{95631D10-1099-4FAC-83B7-3803F35CB6B1},188859.1640625,1762.96879148406
2002,PDR,Y,6.07,Z05-43,PDR 6.070,Wadeg, ,Z05-43A,23.09320169,,2006/10/02 05:00:00+00,2006/10/03 05:00:00+00,,PDR,RES_MEDIUM_DENSITY,PDR 6.070,(D), 3 - PDR-MDR (4 - 8 du/ac),2006/10/02 05:00:00+00,PDR-MDR,{EE323ECB-259E-4A39-86F5-9AE2ED2FCFD3},1005936.73144531,4649.68382313131
