OBJECTID,ZONE_CODE,PDR,PDR_DENSIT,CASE_NO,LABEL,EDITOR,ACTION_,COMMENT_,ACRES,BOC_DATE,CITY_COUNC,MAP_EDIT_D,ERROR_FIX_,UDO,ZONE_GEN,UDO_LABEL,DEVELOP_PL,UDO_LEGEND,IN_DATE,PDR_RNG,GlobalID,ShapeSTArea,ShapeSTLength
518,GC, ,0,P98-06,GC(D), , , ,2.50331707,,1998/06/15 05:00:00+00,,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{E462EAB5-E012-409C-A006-3085F02DBE03},109044.151611328,1340.59038581886
519,R-10, ,0,P91-49,R-10(D), , , ,19.01272271,1991/11/11 05:00:00+00,,,,RS-10,RES_LOW_DENSITY,RS-10(D),(D), 8 - RS-10,,,{D42EB02E-A930-4652-B882-1745274F3C2F},828191.62109375,6059.44226425183
520,RD, ,0, ,RD, , , ,4.23206371,,,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{F980BB6D-0B44-4ED3-A2C6-E8D9CC6C4F5B},184348.12097168,2718.34600599193
521,I-2, ,0,,I-2, , ,"P90-16;P94-23;P96-35;P96-93",154.26466228,,1997/02/17 05:00:00+00,,,IL,INDUSTRIAL,IL, ,21 - IL,,,{D7DDDB7A-3342-44F9-B2F1-9579A794E55A},6719747.75231934,13001.5419363465
522,R-8, ,0, ,R-8, , , ,1.05394924,,,,,RS-8,RES_MEDIUM_DENSITY,RS-8, , 9 - RS-8,,,{8B34AD2F-3D05-4866-9745-695649DEA106},45909.8858642578,868.64066972478
523,R-3, ,0, ,R-3, , , ,2.16540184,,,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{4E2E235E-83DB-4FAE-9296-7F2E463173E0},94324.6099853516,1243.5326742978
524,PDR,Y,2.72000002,P03-21,PDR 2.72, , , ,9.86693833,,2004/04/05 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 2.720,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{4E20A99A-4C27-4D82-B778-F9E51DAC2718},429802.494140625,2967.42314830132
525,NC, ,0, ,NC, , , ,4.96103559,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{BA27ADEA-FF1C-42B6-8E29-0C9154FC9C04},216102.036865234,2060.28048851517
526,PDR,Y,3.35999989,P99-09,PDR   3.360, , ,P00-79,128.85452693,,1999/06/28 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 3.360,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{DDBE71D5-3F0F-4F0B-991B-C90069ADB4E2},5612885.70324707,10475.6709968216
527,SC, ,0,P96-70,SC(D), , ,P85-105,20.97883102,,1997/02/18 05:00:00+00,,,CC,COMMERCIAL,CC(D),(D),16 - CC,,,{1D675906-421E-4CD6-A474-98D5A4D7D220},913835.031738281,4136.2273418796
528,NC, ,0, ,NC, , , ,11.25595753,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{85A0D15D-BD3D-4BEC-9608-DA2DAEEC4E7A},490307.982055664,3695.85476985378
529,RM-20, ,0,P01-23,RM-20(D), , , ,3.52580043,,2001/06/18 05:00:00+00,,,RU-M,RES_HIGH_DENSITY,RU-M(D),(D),13 - RU-M,,,{93202725-EA34-4976-9050-C272C00D61C8},153583.387451172,2010.44054324565
530,RM-16, ,0, ,RM-16, , , ,15.66447753,,,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{785DE4C3-CB86-44EB-B2E0-00257E6D1768},682342.515136719,3737.523966477
531,RM-12, ,0, ,RM-12, , , ,0.53501446,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{FDD01C16-85A8-42BC-9359-3221D35FF834},23305.1573486328,632.813874015238
532,RM-20, ,0,,RM-20, , ,"P75-17;P93-10;P02-17",14.94001513,,2002/08/07 05:00:00+00,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{242D8F33-52C7-435E-9152-C3AE0F45B91B},650785.029907227,4691.9487558129
533,PDR,Y,3.15000009,P03-25,PDR 3.15, , , ,16.5660559,,2003/09/15 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 3.150,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{D2AFDDA7-C831-4624-A763-2EBB9E843ECD},721615.146728516,3764.16014277794
534,OI-2, ,0,P00-93,OI-2(D), , ,"P80-09;P88-77",2.1000031,,2001/06/04 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{C51D92F3-DFD1-42BE-9996-93FF04160BDA},91475.8499755859,1208.56269352907
535,OI-2, ,0,,OI-2, , ,"P87-54;P96-11;P04-68",24.48782755,,2005/08/01 05:00:00+00,2005/08/02 05:00:00+00,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{9C414C7D-E74C-4662-B1B0-17B534D14642},1066686.44445801,5958.83960893995
536,NC, ,0,P93-84,NC(D), , , ,1.18027986,,1994/02/21 05:00:00+00,,,CN,COMMERCIAL,CN(D),(D),17 - CN,,,{A4D57F6B-C6A2-4A20-9AEA-75B0B015FD8E},51412.8306884766,913.083800179151
537,I-3, ,0, ,I-3, , , ,6.17674772,,,,,I,INDUSTRIAL,I, ,20 - I,,,{D0CDA490-A20F-4E5A-B358-8AA1D492A958},269058.292114258,2159.78457052914
538,GC, ,0,P89-01,GC(D), , , ,21.23862542,,1989/05/15 05:00:00+00,,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{BA5C920B-CC60-4312-8304-54D6939EFDD3},925151.640380859,3857.66306386723
539,MU,Y,0.21999999,Z08000003,MU(D),Wadeg, ,P02-79,151.31605581,,2010/08/09 05:00:00+00,,,MU,MIXED_USE,MU(D),(D),23 - MU,,,{682260BA-44B7-4624-BF51-BF63E8C338F0},6591306.85290527,12953.7465570271
540,I-2, ,0,Z05-17,I-2(D), , ,"P97-73;P02-61",28.68683403,1998/02/09 05:00:00+00,2006/01/17 05:00:00+00,,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{F3629377-9098-42B1-9705-E28E5EF258E2},1249594.59692383,5228.34353049327
541,I-2, ,0,P04-21,I-2, , ,P04-23,4.72861723,,2006/02/20 05:00:00+00,2006/02/21 05:00:00+00,,CN,COMMERCIAL,CN(D),(D),17 - CN,,,{195A9C67-7B30-4D53-B0D7-F1F940544E51},205977.924560547,2035.56501003521
542,R-20, ,0, ,R-20, , , ,0.87005976,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{2044D36F-1600-4860-AD6E-43D1A2CD0DF8},37899.6848144531,1290.24267464813
543,NC, ,0, ,NC, , , ,1.08099285,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{0D744315-9546-4677-8BA5-8E5FF10C50CC},47087.9019775391,869.717811486353
544,SC, ,0,P96-51,SC(D), , ,"P80-09;P88-77;P92-40",9.09397253,,1993/01/19 05:00:00+00,,,CC,COMMERCIAL,CC(D),(D),16 - CC,,,{E4F49A32-E6BB-483D-9E3F-0211FABE843F},396132.208618164,2877.47281275861
545,I-2, ,0, ,I-2, , , ,22.2871304,,,,,IL,INDUSTRIAL,IL, ,21 - IL,,,{03EC25C4-EC14-48A3-BBF9-374E43909707},970824.376953125,4880.29013011942
546,NC, ,0, ,NC, , , ,1.13365348,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{31171677-CFD8-40B4-9C05-01ACBF951BD0},49381.7919921875,909.701053180976
547,SC, ,0,P86-86,SC(D), , , ,0.25257167,,1987/01/05 05:00:00+00,,,CC,COMMERCIAL,CC(D),(D),16 - CC,,,{DD330C00-9752-4807-9B7D-C76119EDE31D},11001.9877929688,496.084640726038
548,RM-12, ,0, ,RM-12, , , ,2.74922005,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{12861805-647C-4253-9F4F-1108B2200975},119755.65246582,1612.98644466355
549,CT, ,0, ,CT, , , ,0.71203845,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{29552941-AF9B-47AD-8D90-DE2D80B4771A},31016.2985839844,707.262179513163
550,RM-12, ,0, ,RM-12, , , ,0.57708145,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{7EEBA844-6DC7-490E-A3A0-A4430D834221},25137.5893554688,670.337883542717
551,NC, ,0, ,NC, , , P87-54,0.66275051,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{E9E723C5-DBDC-491E-B47A-E6892CEE2E9B},28869.3220214844,787.509345130429
552,RD, ,0,P86-57,RD, , , ,67.05495345,,1986/11/03 05:00:00+00,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{F13273E6-3B8C-4DA5-BEA9-A68C93A7BC91},2920904.6706543,7753.67930744415
553,SC, ,0, ,SC, , , ,27.02058169,,,,,CC,COMMERCIAL,CC, ,16 - CC,,,{3119C75E-19D9-4232-8C44-2A0FA7618C38},1177012.87158203,4927.56190190373
554,PDR,Y,2,P99-51,PDR   2.000, , , ,59.59485218,,1999/12/20 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 2.000,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{EE1CEAE1-31EF-4B80-84C2-AF144A5E87B5},2595943.67211914,7877.66599546178
555,CT, ,0, ,CT, , , ,4.40644411,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{F8FB9767-74D7-4386-8DBC-A674F2F9B616},191944.107055664,2130.74827899668
556,RM-12, ,0, ,RM-12, , , ,24.29169976,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{0F6AD6C4-DDE6-4562-AEC2-AAEE18BE9C5C},1058143.14477539,4466.10581923445
557,RD, ,0, ,RD, , ,P87-54,466.96056437,,,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{E4A63D40-BF9C-4CB6-98AA-FC2CEBB149E0},19134438.5235596,53298.2790997774
558,OI, ,0,Z1200004,R-20,Wadeg,P02-66,"P80-22;P83-45;P91-55;P91-59;P93-31;P02-44;P03-68",0.08800218,,2013/09/03 05:00:00+00,2013/09/06 05:00:00+00,2014/01/09 05:00:00+00,RS-20,OFFICE_INSTITUTIONAL,RS-20,, 7 - RS-20,,,{9F93A5A9-B4DC-4CA6-AD01-9301BD500736},3833.36303710938,292.220022665665
559,PDR,Y,4.69000005,P99-37,PDR 4.69, , ,"P79-02;P99-66;P02-06",91.49143615,2003/09/22 05:00:00+00,,,,PDR,RES_MEDIUM_DENSITY,PDR 4.690,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{77813D51-65CE-478D-9313-BC2F62729BA6},3985354.53869629,10827.8818094646
561,R-3, ,0,P81-38,R-3, , , ,0.41269811,,1981/09/08 05:00:00+00,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{5B5FD8AB-6549-4FF7-9382-23CB0003E75D},17977.0737304688,556.187240380984
563,R-20, ,0, ,R-20,LDW ,Z1700001 ,P87-54,2.10445312,,2018/03/05 05:00:00+00,2018/03/06 05:00:00+00,,CG,COMMERCIAL GENERAL,CG(D),(D) ,19 - CG,,,{DAABF42C-E4E6-49ED-80D2-2B3D373C010B},91669.6923828125,1358.16241811047
564,MU, ,0,P98-86,MU(D), , , ,10.14730077,,1999/06/21 05:00:00+00,,,MU,MIXED_USE,MU(D),(D),23 - MU,,,{130622E2-57A8-4DC1-B0EA-EF3690B4FAE6},442015.044555664,2905.57420563279
565,SC, ,0, ,SC, , ,P93-40,15.73538376,,,,,CC,COMMERCIAL,CC, ,16 - CC,,,{79B72A1C-1C37-434F-AC57-F56B7DCB5C1E},685431.180541992,4298.41747820761
566,RD, ,0,Z17-22 ,RD,LDW ,Z1700022 , ,15.1254172,,2018/03/05 05:00:00+00,2018/04/03 05:00:00+00,,PDR,RES_MEDIUM_DENSITY,PDR 5.362,(D), 3 - PDR-MDR (4 - 8 du/ac),,,{25A22E7E-06F0-486C-A4E1-BF832C701205},658861.120239258,3815.146188775
567,PDR,Y,20,Z1200028,PDR 20.000,Wadeg,RU-5(2) to PDR 20.00,"P80-24;P80-44;P81-21;P81-22;P81-23",4.65293429,,2013/04/01 05:00:00+00,2013/04/05 05:00:00+00,,PDR,RES_HIGH_DENSITY,PDR 20.000,(D), 5 - PDR-VHR (> 12 du/ac),,,{B5DE7224-84EB-4713-9A29-CE4244F48A78},202681.185913086,1946.96514617358
568,GC, ,0,P02-33,GC(D), , , ,1.09954099,,2003/01/21 05:00:00+00,,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{D7B52AEF-D65C-4FBE-9229-9C70FB2B363D},47895.8564453125,971.624336416778
569,RM-CN, ,0,P02-81,RM-CN-40(D), , ,P99-84,4.72689112,,2003/04/21 05:00:00+00,,,RC,RES_HIGH_DENSITY,RC(D),(D),14 - RC,,,{E91E0EBD-3097-4B93-AC8E-D263E0E55338},205902.735961914,2103.39033424065
570,SC, ,0, ,SC, , , ,8.9208447,,,,,CC,COMMERCIAL,CC, ,16 - CC,,,{0A0ED024-5079-45FC-9AD4-8882D125D401},388590.784179688,2751.79838722103
571,RM-8, ,0,P82-23,RM-8(D), , ,P81-54,1.90959188,,1982/07/06 05:00:00+00,,,RS-M,RES_HIGH_DENSITY,RS-M(D),(D),10 - RS-M,,,{807F7D5C-ED4A-46F9-AEDC-1FD1D3C94515},83181.5632324219,1447.93647996987
572,GC, ,0,P92-09,GC, , , ,9.9922738,,1992/09/21 05:00:00+00,,,CG,COMMERCIAL,CG, ,19 - CG,,,{E7263AC9-AE6F-46CF-9603-187B1DA63C0B},435262.08972168,2675.72298019755
573,NC, ,0,P87-50,NC, , ,P75-05,4.82998136,,1987/08/17 05:00:00+00,,,CN,COMMERCIAL,CN, ,17 - CN,,,{182D9FA9-B505-44D9-AC31-B34E5FB6CD0C},210393.331787109,1856.17842426063
575,CT, ,0,P94-58,CT, , , ,0.94110262,1995/03/27 05:00:00+00,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{62F5F247-CD4A-4EC3-A38B-1DE5CE4E0A3D},40994.3023681641,894.240952675163
576,R-15, ,0,P98-88,R-15, ,UDO,"P95-25;P96-87;P96-89",113.92717332,1999/03/22 05:00:00+00,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{700B562F-DE8E-475B-AE25-80A0E67CBC32},4962652.20727539,13511.5351707947
577,GC, ,0,Z1200019,GC,Wadeg, ,Z1200024A,61.96298063,,2014/11/03 05:00:00+00,2014/11/04 05:00:00+00,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{F6712B93-BDB2-4FBA-8E41-004B288DB585},2699099.02563477,8345.55167061372
578,RM-12, ,0, ,RM-12, , , ,0.2861842,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{FFC16C83-29C5-4ACA-982A-E0B999C05140},12466.1448974609,446.872581812599
579,RM-12, ,0, ,RM-12, , ,P87-54,67.51576256,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{9F381D35-259E-4B0B-99B6-1A87A49CA378},2940977.45263672,9339.39076613608
580,R-20, ,0,Z06-17,R-20, , , ,11.36388111,,2006/12/18 05:00:00+00,,,PDR,RES_MEDIUM_DENSITY,PDR 8.000,(D), 3 - PDR-MDR (4 - 8 du/ac),2006/12/18 05:00:00+00,PDR-MDR,{FE790B21-5317-48D8-AFC9-B8109993F12F},495009.118896484,3554.71994121258
581,R-20, ,0,P96-14,R-20(D), , ,P90-52,4.71630175,1997/05/19 05:00:00+00,,,,RS-20,RES_LOW_DENSITY,RS-20(D),(D), 7 - RS-20,,,{9B9E52CD-B5D1-48FB-A1D3-20125238D759},205441.463623047,3775.93080657305
582,PDR, ,0,Z1000014,PDR 3.840,Wadeg, ,"P02-15;P04-54;Z07-48",47.1315129,,2011/11/21 05:00:00+00,2011/11/30 05:00:00+00,,PDR,RES_LOW_DENSITY,PDR 3.840,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{E5E95F68-2E74-4683-80B9-40CE59BCA89C},2053042.30627441,7946.01395684281
583,CC, ,0, Z1300024,CC,Wadeg, , ,0.92072201,,2014/02/03 05:00:00+00,2014/02/06 05:00:00+00,,CC,COMMERCIAL,CC,,16 - CC,,,{302BACC5-1EB9-4D67-8089-1E8E32343803},40106.5257568359,811.784846240634
584,R-8, ,0, ,R-8, , , ,15.1586314,,,,,RS-8,RES_MEDIUM_DENSITY,RS-8, , 9 - RS-8,,,{9DE8E1DB-6280-486E-AE78-2415C5B7B681},660307.926025391,4432.82530911304
585,R-15, ,0, ,R-15, , , ,8.42733251,,,,,RS-10,RES_LOW_DENSITY,RS-10, , 8 - RS-10,,,{6CA29FCD-8E19-48CC-A525-EE0AF88E7DC0},367093.459960938,2692.47929438136
586,NC, ,0, ,NC, , , ,28.85215406,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{B83AEA39-17C6-4AAE-BC88-C00DB47BE758},1256795.91442871,6741.82636288645
587,R-20, ,0,P90-56,R-20, , , ,11.49112905,,1991/02/18 05:00:00+00,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{83F05D15-39D5-4A26-9306-A53CFC64A102},500552.021850586,4355.46626821961
588,I-3, ,0, ,I-3, , , ,3.3057792,,,,,I,INDUSTRIAL,I, ,20 - I,,,{6E010ECF-7292-4FD7-A518-D5015F09A294},143999.293334961,1559.99138072102
589,R-20, ,0, ,R-20, , , ,77.08891079,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{9B76200C-2E38-49C3-8225-9A4E1BD8B34A},3357982.49035645,15615.2300953668
590,PDR,Y,3,P04-20,PDR 3, , ,P04-14,4.20220044,,2004/09/07 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 3.000,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{3DB6EFF9-1A45-446A-8727-4677CCC6A16F},183047.280639648,2003.76748270117
591,NC, ,0, ,NC, , ,P77-14,8.59167909,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{772A4E3D-A0F6-4605-9481-C13D604B6FC3},374252.375,2992.08198647744
592,RM-20, ,0, ,RM-20, , , ,3.20861784,,,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{BD608476-5F1F-4E2C-9E58-59C7873ED8F9},139766.957641602,1742.83680953189
593,, ,0,Z0900016,, , ,P76-22,35.84436962,,2010/02/01 05:00:00+00,,,DD-S2,DOWNTOWN DESIGN-SUPPORT 2,DD-S2, ,29 - DD-S2,2010/02/01 05:00:00+00,,{C96040F9-D04B-47D5-9302-AD452ED0A0EA},1561375.87463379,7543.55845788888
594,RM-8, ,0,P99-36,RM-8(D), , ,P87-03,30.67223904,,1999/10/18 05:00:00+00,,,RS-M,RES_HIGH_DENSITY,RS-M(D),(D),10 - RS-M,,,{B3B04505-ED38-43AF-AA64-2D765ECAA4FF},1336078.56884766,4839.1217817459
595,OI-1, ,0,P01-51,OI-1(D),Wadeg, ,"P98-33;P01-22;P01-51",7.70073154,1999/05/10 05:00:00+00,2012/11/05 05:00:00+00,2012/11/06 05:00:00+00,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{1F3EC215-4C35-43D4-98D0-A70753F9C7E9},335442.821044922,2537.06870958947
596,R-20, ,0, ,R-20, , , ,3.13303717,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{D10044A7-E7EA-4DA9-9E24-C247B28B9F49},136474.673706055,1623.33758224455
597,PDR,Y,6.90000009,P86-93,PDR   6.900, , , ,19.24000408,,1987/05/04 05:00:00+00,,,PDR,RES_MEDIUM_DENSITY,PDR 6.900,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{498E58D9-3AC7-4F7C-B7D2-0AAB852601F4},838091.965942383,4388.75557186757
598,R-15, ,0, ,R-15, , , ,20.93204427,,,,,RS-10,RES_LOW_DENSITY,RS-10, , 8 - RS-10,,,{967DEC66-D248-4761-B0DE-57B7CD99447F},911797.006958008,4623.4468471507
599,RM-20, ,0, ,RM-20, , , ,0.57019084,,,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{F84E1E59-CBB8-42BF-A340-33BD8B64FB37},24837.4357910156,803.290224394565
600,I-2, ,0,P00-63,I-2(D), , ,"P00-63; P00-77",1.54515575,,2001/01/16 05:00:00+00,,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{9C3FCB8A-7D7B-4754-B08C-3CF9E3289737},67306.7751464844,1559.07385311036
601,I-2, ,0,P98-87,I-2(D), , , ,5.56929772,,1999/06/07 05:00:00+00,,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{345748C4-44B0-490C-A9C2-271658CE0D18},242597.852294922,1998.11241716138
602,PDR,Y,2.38000011,P00-69,PDR 2.38, , ,P00-31,32.10950518,,2001/02/05 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 2.380,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{5A372566-2791-445B-B343-41E1AE9F7A00},1398685.6887207,8252.77316708727
603,OI-1, ,0, ,OI-1, , , ,0.57467667,,,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{5628A27C-6401-43DC-AFE5-81318D73AAA9},25032.8376464844,706.147627531637
604,NC, ,0, ,NC, , , ,1.01092874,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{AA79FF7F-A469-4133-AEFC-F944053FFF84},44035.9185791016,838.771377072863
605,R-10, ,0, ,R-10, , , ,6.43e-06,,,,,RS-10,RES_LOW_DENSITY,RS-10, , 8 - RS-10,,,{D76BAB37-4712-422D-8759-99C197C6629F},0.280029296875,6.91915983812588
606,I-2, ,0,P04-21,I-2, , ,P04-23,18.20383115,,2006/02/20 05:00:00+00,2006/02/21 05:00:00+00,,CC,COMMERCIAL,CC(D),(D),16 - CC,,,{A0CA762B-F8F5-4EF8-AB2C-7ACA6492F385},792956.414306641,3717.90757703099
607,GC, ,0,P98-29,GC(D), , ,"P87-01;P88-60;P90-42;P91-20;P97-05",17.20581937,,1998/07/20 05:00:00+00,,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{7F177C4C-4ABE-4E19-8988-0D398687650D},749483.155883789,3679.47671327436
608,MU, ,0,P01-19,MU(D), , , ,19.63906396,,2001/11/19 05:00:00+00,,,MU,MIXED_USE,MU(D),(D),23 - MU,,,{EBA03ABB-9E8A-4B11-9992-C27BE89B3469},855474.960449219,4481.75031414294
609,RM-12, ,0,P88-46,RM-12(D), , , ,1.99343468,,1989/05/08 05:00:00+00,,,RS-M,RES_HIGH_DENSITY,RS-M(D),(D),10 - RS-M,,,{A2864890-69AD-48FB-92A4-0265CCAD59A5},86833.7443847656,1327.77594105342
610,R-20, ,0,,R-20,Wadeg,Adjusted due to errors found in file,"P86-12;P91-11;P91-57;P91-58;P93-39;P94-48;P97-16;P03-41",527.56931075,,,,2007/04/19 05:00:00+00,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{635BA274-0383-4608-A392-C2386A88584F},22980847.5709229,76189.672271585
611,I-2, ,0,Z06-02,I-2, , ,"P90-12;P96-10;P98-27",1.45747275,1990/05/14 05:00:00+00,2006/02/13 05:00:00+00,2006/02/14 05:00:00+00,,IL,INDUSTRIAL,IL, ,21 - IL,,,{25FE37BF-A290-471B-A067-238F3BC09165},63487.3148193359,1019.58185975109
612,RM-20, ,0, ,RM-20, , , ,0.64593311,,,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{057E1BD5-58CA-440A-8027-804E2F4011A4},28136.7585449219,674.981777464321
613,OI-2, ,0, ,OI-2, , , ,1.85580124,,,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{0EB67C46-0800-45A1-B5E6-1A61C1D95B47},80838.4500732422,1220.93089829261
614,NC, ,0,,NC, , ,P97-34,10.63419149,,1997/07/21 05:00:00+00,,,CN,COMMERCIAL,CN, ,17 - CN,,,{E7C166FA-463E-42A3-8163-68ED2638BADC},463223.937866211,3770.74839424526
615,RD, ,0,,RD, , ,P93-24,10.91539181,,1993/06/21 05:00:00+00,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{7D5BD485-3D32-4596-B916-5EE5E8801478},475472.985473633,3628.1285301755
616,RM-12, ,0, ,RM-12, , , ,0.14141779,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{66FDB773-B4A6-40DB-862A-B432B8594EEF},6160.13952636719,368.010859843123
617,PDR,Y,10,P72-41,PDR  10.000, , , ,24.47603863,,,,,PDR,RES_HIGH_DENSITY,PDR 10.000,(D), 4 - PDR-HDR (8 - 12 du/ac),,PDR-HDR,{92E70628-A33B-4B72-AEE4-C3DC006BDA1D},1066172.91992188,5254.5021274118
618,RSCH, ,0, ,RSCH, , , ,2085.93776313,,,,,SRP,RESEARCH,SRP, ,24 - SRP,,,{6ED64C8F-51BE-4E59-ABDC-A35754B988FC},90863165.8334961,71421.6268254852
619,R-3, ,0, ,R-3, , , ,26.72185912,,,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{5B9CA3C6-1C8E-4247-81D8-96DEE9BB5781},1164000.55627441,5911.27367506675
620,RM-8, ,0, ,RM-8, , , ,45.76901108,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{42EB1CB1-EF24-4C65-80B2-DC7CF482128D},1993691.91064453,7132.9824581743
621,RM-12, ,0, ,RM-12, , , ,0.63221428,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{235F3346-013D-4750-B7BC-05FB1B3A0EED},27539.1685791016,666.842298396132
622,RSCH, ,0, Z1500018,RSCH,Wadeg, ,P96-65,128.32703893,2015/09/29 05:00:00+00,,2015/10/01 05:00:00+00,2015/10/22 05:00:00+00,SRP-C,RESEARCH,SRP-C, ,34 - SRP-C,,,{3B603CC2-9BD6-4DF0-9871-F793566605AC},5589908.39782715,11958.6681256654
623,R-20, ,0, ,R-20, , , ,4.1755984,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{E4663664-F9DE-4CE9-BA9D-B84C136EFB95},181888.499389648,2075.93357600474
624,I-2, ,0,P87-54,I-2, , , ,30.32355492,,,,,IL,INDUSTRIAL,IL, ,21 - IL,,,{7F6542B6-2FA5-4397-8B06-E1D72DA216E6},1320889.93701172,5588.23334408118
625,SC, ,0,P00-39,SC(D), , ,"P81-14;P84-19;P93-42",12.86505807,,2000/08/07 05:00:00+00,,,CC,COMMERCIAL,CC(D),(D),16 - CC,,,{9BFC7529-2407-4992-9C80-9CE73165DC80},560400.184204102,3007.80747966349
626,GC, ,0,Z1400021,GC(D), ,,P85-56,5.81547009,,2015/04/20 05:00:00+00,2015/04/21 05:00:00+00,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{832FF328-97B0-4606-B3DF-1F7D214885C4},253321.087280273,2048.98630188631
627,RD, ,0, ,RD, , , ,47.53131574,,,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{B125F834-A85E-4DB4-A847-A835D9C05AD5},2070457.66149902,10070.4490939109
628,PDR MH,Y,4.16599988,P81-46,PDR MH, , , ,43.10796186,,1989/05/08 05:00:00+00,,,PDR,RES_MEDIUM_DENSITY,PDR MH, , 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{79A0136B-DFBB-483E-9C0A-E984DE235A95},1877776.96691895,6662.98843079063
